,review
895,"I don't get why this place has such great reviews...The boyfriend and I came here a couple weeks ago, on a Friday night since we wanted some sushi. I'm guessing it's a good thing we went pretty early (around 5:30pm) since when we were done with dinner, there was a couple parties waiting in line to be seated.The service was kind of whatever, and the place gets pretty loud. I ordered some special roll (I can't remember the name nor can I find it on their menu online) which was decent. Nothing special, but it wasn't bad or anything. The boyfriend ordered the sashimi dinner and, to be honest, when it came out, both of our jaws dropped a little bit because it was a tiny little plate (for $21...) I know sashimi is expensive, but for $21, it was just kind of surprising. To give them credit, they weren't thinly cut...Anyways, I don't know what the big hype is since my whole experience was just a-okay. I'd probably go to another sushi restaurant in Mountain View."
896,"This is one of the best sushi spots in the area, and I am confidently saying that after tonight was my first time experiencing the restaurant. Tea, our waiter, was very helpful and kind. Great service, great food!Only issue is the long wait, although we came on a Friday night. The ambiance could use some work (like removing the printed out papers that were taped on the wall). That doesn't influence my review because the food and service was GREAT!"
897,"Sashimi lunch - 14 pieces of fresh fish melted in my mouth! It's a unique place with food that both looks good and tastes good. We also got the lunch bento - salmon terriyaki and chicken terriyaki - which I wasn't a huge fan of. It tasted good, but that wasn't as amazing as the other foods they have to offer. Service was great. The ladies are sweet and kind."
898,"Great vegetarian options. Awesome food and drinks are amazing! Fresh, healthy and yummy food."
899,"This place is often pretty packed especially at prime times during dinner and weekends so just a warning ahead of time in that regard. In terms of the food, it's the type of sushi place that seems more authentic. What I mean by that is don't expect like a bunch of different types of sushi roll choices with a bunch of sauce and crazy names.I must say that if you so go here, you must order the Tomi special sushi roll. It's a roll with sashimi on top of it that is torched with some special sauce. This sushi roll is the main reason I come back and I will always order it.For the rest of the food, it's high quality but a little bit on the pricier side for your meal. Don't forget to order the Tomi special!"
900,Love this place! This is my family's go to sushi spot. The food is great (so so delicious) and the service is amazing! The only thing- you should consider arriving about 15-30 mins early because they have first and second group seating. Consider coming here if you want to have a nourishing meal and have great service!
901,"THIS is THE place to Sushi for! Serious, The waiting is was bit longer then expected, but it was worth it. every single role!Super good quality."
902,"We order extra special sushi. The waiting time is unusual long but the tuna is really really fresh. They didn't take the reservation no matter how many people u r, and the waiting time is about 40 mins on Thursday 7pm."
903,"WARNING: they will copy your card & ID without your permission!! For people who goes to Sushi Tomi, if the server wants to borrow your ID. Please confirm with them if they are going to copy your ID and Card. So my colleague and I went to Sushi Tomi for dinner today. Although the foods are good, but when we are about to make payment with my card. The lady got my card and asked about my ID. I thought they are just going to check if the card and ID name is match. But, the lady just walk away into a small room with my ID. I thought is really weird because there are cashier outside the small room. So after few mins, I decided to go check on the server who took my ID. THEN, when I open the door. I saw the server was copying my ID and card without even asking me. I feel really uncomfortable how they can copy my personal information without my permission. Even I checked with the store manager, she doesn't feel like it is a big deal. Seems like they have done such things multiple times already. I do think Sushi Tomi provide good foods but they should also respect their customers' personal information."
904,"Still don't get the positive reviews and lines for this place. Sushi quality is just ok, and skills definition subpar... bits of skin left on and I even got a bone in my eel. At most it's ok for a place to get rolls and bento lunches for relatively cheap, for the area. But... meh."
905,"Came in hoping for a quick, simple lunch, and didn't quite get my wish. Even though there were open seats at the sushi bar and neither of the two small groups ahead of me seemed to want to sit there, it took several minutes before I could get the hostess/waitress' attention and ask if I could seat myself. I knew I just wanted sushi, but I hadn't been given the slip of paper for ordering sushi, and even though the guy was just standing there (I guess most people do the lunch combos), he wouldn't take my order. He called the waitress over, and she gave me the paper to fill out. She also gave me a plate, which had dried wasabi still stuck to it--yuck! Once I finally got the order in, everything came out very quickly, at least. But, nothing tasted fresh, except maybe the salmon. I also got chu-toro and amaebi, both of which seemed like they'd been sitting out a bit too long, and their temperature was even a bit on the warm side, which is probably why my stomach isn't feeling too great right now... I also had a shrimp tempura roll, which had no sauce or anything--just tempura shrimp with rice and a few wilted pieces of lettuce. There might have been a tiny bit of mayo or something inside but overall, not tasty. Disappointing."
